{'min_lat': 40.75419436, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.759499640000001}
{'min_lat': 40.75419436, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.759499640000001}
{'min_lat': 40.759499640000001, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.764804920000003}
{'min_lat': 40.748889079999998, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.75419436}
{'min_lat': 40.759499640000001, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.764804920000003}
{'min_lat': 40.717057400000002, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.722362680000003}
{'min_lat': 40.73297324, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.738278520000001}
{'min_lat': 40.738278520000001, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.743583800000003}
{'min_lat': 40.722362680000003, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.727667960000005}
{'min_lat': 40.727667959999998, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.73297324}
{'min_lat': 40.717057400000002, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.722362680000003}
{'min_lat': 40.738278520000001, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.743583800000003}
{'min_lat': 40.743583800000003, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.748889080000005}
{'min_lat': 40.722362680000003, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.727667960000005}
{'min_lat': 40.743583800000003, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.748889080000005}
{'min_lat': 40.748889079999998, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.75419436}
{'min_lat': 40.717057400000002, 'max_lng': -73.954069359999991, 'min_lng': -73.962075639999995, 'max_lat': 40.722362680000003}
{'min_lat': 40.748889079999998, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.75419436}
{'min_lat': 40.722362680000003, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.727667960000005}
{'min_lat': 40.759499640000001, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.764804920000003}
{'min_lat': 40.764804920000003, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.770110200000005}
{'min_lat': 40.75419436, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.759499640000001}
{'min_lat': 40.727667959999998, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.73297324}
{'min_lat': 40.73297324, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.738278520000001}
{'min_lat': 40.727667959999998, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.73297324}
{'min_lat': 40.722362680000003, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.727667960000005}
{'min_lat': 40.71175212, 'max_lng': -73.954069359999991, 'min_lng': -73.962075639999995, 'max_lat': 40.717057400000002}
{'min_lat': 40.743583800000003, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.748889080000005}
{'min_lat': 40.73297324, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.738278520000001}
{'min_lat': 40.738278520000001, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.743583800000003}
{'min_lat': 40.738278520000001, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.743583800000003}
{'min_lat': 40.75419436, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.759499640000001}
{'min_lat': 40.706446839999998, 'max_lng': -74.010113319999988, 'min_lng': -74.018119599999991, 'max_lat': 40.71175212}
{'min_lat': 40.727667959999998, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.73297324}
{'min_lat': 40.717057400000002, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.722362680000003}
{'min_lat': 40.780720760000001, 'max_lng': -73.970081919999998, 'min_lng': -73.978088200000002, 'max_lat': 40.786026040000003}
{'min_lat': 40.743583800000003, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.748889080000005}
{'min_lat': 40.759499640000001, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.764804920000003}
{'min_lat': 40.770110199999998, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.775415479999999}
{'min_lat': 40.717057400000002, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.722362680000003}
{'min_lat': 40.706446839999998, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.71175212}
{'min_lat': 40.748889079999998, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.75419436}
{'min_lat': 40.701141560000003, 'max_lng': -73.986094479999991, 'min_lng': -73.994100759999995, 'max_lat': 40.706446840000005}
{'min_lat': 40.73297324, 'max_lng': -73.978088200000002, 'min_lng': -73.986094480000006, 'max_lat': 40.738278520000001}
{'min_lat': 40.748889079999998, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.75419436}
{'min_lat': 40.759499640000001, 'max_lng': -73.994100759999995, 'min_lng': -74.002107039999999, 'max_lat': 40.764804920000003}
{'min_lat': 40.71175212, 'max_lng': -73.946063080000002, 'min_lng': -73.954069360000005, 'max_lat': 40.717057400000002}
{'min_lat': 40.75419436, 'max_lng': -73.962075639999995, 'min_lng': -73.970081919999998, 'max_lat': 40.759499640000001}
{'min_lat': 40.71175212, 'max_lng': -74.002107039999999, 'min_lng': -74.010113320000002, 'max_lat': 40.717057400000002}
